# 스크린캡쳐 매핑 (자동 생성)
# 파일명 | 타임스탬프 | 카테고리 | 컨텍스트

screenshot_094.jpg | 1:17:19 | 카메라 샘플 | 所以如果只能拍好照片
screenshot_095.jpg | 1:17:33 | 스펙 슬라이드 | 我们来看看微单的视频规格
screenshot_096.jpg | 1:17:52 | 카메라 시스템 | 微单有一个蔡司大师镜头群
screenshot_097.jpg | 1:18:14 | 스펙 슬라이드 | 全部都不用降规格
screenshot_098.jpg | 1:18:22 | 스펙 슬라이드 | 以后大家在聊视频规格
screenshot_099.jpg | 1:18:34 | 스펙 슬라이드 | 除了基础的高规格
screenshot_100.jpg | 1:19:18 | 카메라 샘플 | 就是一条从拍摄到后期
screenshot_101.jpg | 1:19:40 | 카메라 시스템 | X300 Ultra为每一颗镜头都配备了
screenshot_102.jpg | 1:20:16 | 디자인 | 重新设计了专业录像模式Pro
screenshot_103.jpg | 1:20:37 | 카메라 샘플 | 拍摄的时候就可以预览最终的效果
screenshot_104.jpg | 1:20:42 | 카메라 샘플 | 把后期的确定性提前到拍摄现场
screenshot_105.jpg | 1:21:27 | 스펙 슬라이드 | 聊高规格一定要聊全焦段
screenshot_106.jpg | 1:23:07 | 카메라 샘플 | 为明星们拍摄了电影关短片
screenshot_107.jpg | 1:25:17 | 스펙 슬라이드 | 视频规格天花板
screenshot_108.jpg | 1:27:54 | 스펙 슬라이드 | 全焦段高规格转播级电影感
screenshot_109.jpg | 1:28:42 | 스펙 슬라이드 | 以后聊视频规格咱也得聊焦段
screenshot_110.jpg | 1:29:03 | 카메라 시스템 | 还有长焦
screenshot_111.jpg | 1:30:03 | 배터리 | 顶级芯片 超强续航 流畅系统
screenshot_112.jpg | 1:30:33 | 카메라 시스템 | 还要面对镜头做无食物表演的你
screenshot_113.jpg | 1:30:58 | 카메라 샘플 | 也可能是一张照片
screenshot_114.jpg | 1:31:37 | 가격 | 它的价格是多少呢
screenshot_115.jpg | 1:32:12 | 가격 | 售价不便 699元
screenshot_116.jpg | 1:32:27 | 가격 | 它的售价是1999元
screenshot_117.jpg | 1:32:36 | 가격 | 售价是2499元
screenshot_118.jpg | 1:33:19 | 가격 | 它的售价是1699元
screenshot_119.jpg | 1:34:28 | 스펙 슬라이드 | 4K也不仅是参数
screenshot_120.jpg | 1:34:56 | 디자인 | 支持4K超分FPS国民设计手游的平板
screenshot_121.jpg | 1:37:07 | 디자인 | 设计会图 图纸展示都好用
screenshot_122.jpg | 1:37:27 | 디자인 | Vivo Pad 6 Pro 设计会图纸展示都好用
screenshot_123.jpg | 1:37:32 | 디자인 | 设计会图纸展示都好用
