# 스크린캡쳐 매핑 (자동 생성)
# 파일명 | 타임스탬프 | 카테고리 | 컨텍스트

screenshot_060.jpg | 30:23 | 배터리 | 它的电池都要大了
screenshot_061.jpg | 31:04 | 배터리 | 很多人都觉得Promax机型的续航最强
screenshot_062.jpg | 31:15 | 배터리 | 让大家完全没有续航焦虑
screenshot_063.jpg | 31:37 | 배터리 | 在7500mAh的电池容量下
screenshot_064.jpg | 32:05 | 배터리 | 就是一家十五T它的电池容量非常大
screenshot_065.jpg | 33:15 | 배터리 | 续航表现和充电体验
screenshot_066.jpg | 33:22 | 배터리 | 而且续航表现还非常持久
screenshot_067.jpg | 33:49 | 배터리 | 送一台性能续航超越大屏的一家十五T
screenshot_068.jpg | 34:18 | 제품 공개 | 找到我等会要发布的这条微博
screenshot_069.jpg | 34:30 | 배터리 | 性能续航超越大屏
screenshot_070.jpg | 35:00 | 배터리 | 聊完了性能游戏和续航
screenshot_071.jpg | 35:15 | 제품 공개 | 这一次我们都迎来了
screenshot_072.jpg | 35:38 | 스펙 슬라이드 | 它的屏幕规格往往有一些缩水
screenshot_073.jpg | 36:11 | 제품 공개 | 这次带来了一块
screenshot_074.jpg | 36:54 | 제품 공개 | 我们为它带来了
screenshot_075.jpg | 37:58 | 디자인 | 去跟设计师用的一些专业显示器
screenshot_076.jpg | 38:07 | 디자인 | 专业设计师显示器的一些要求
screenshot_077.jpg | 40:09 | 스펙 슬라이드 | 搭载了我们全新的
screenshot_078.jpg | 41:32 | 제품 공개 | 也欢迎大家发布结束以后
screenshot_079.jpg | 42:51 | 제품 공개 | 我们为它带来了OPPO的
screenshot_080.jpg | 43:06 | 제품 공개 | 之前OPPO发布的一些影像旗舰
screenshot_081.jpg | 43:23 | 카메라 시스템 | 支持3.5倍的前往长焦
screenshot_082.jpg | 43:34 | 카메라 시스템 | 所以这一套旗舰影像系统呢
screenshot_083.jpg | 43:49 | 카메라 시스템 | 这颗3.5倍的前往长焦
screenshot_084.jpg | 43:52 | 카메라 시스템 | 为什么前往长焦很重要
screenshot_085.jpg | 44:04 | 스펙 슬라이드 | 还专门搭载了OIS光学防抖
screenshot_086.jpg | 44:12 | 카메라 시스템 | 那么这颗3.5倍的这个长焦
screenshot_087.jpg | 44:29 | 스펙 슬라이드 | 说了这么多参数
screenshot_088.jpg | 44:33 | 카메라 시스템 | 有了这个前往长焦的加持
screenshot_089.jpg | 44:53 | 카메라 시스템 | 而是我们的LUMO零光影像系统
screenshot_090.jpg | 45:55 | 제품 공개 | 来享受接下来的发布会
screenshot_091.jpg | 46:41 | 카메라 샘플 | 这张照片其实背景非常的复杂
screenshot_092.jpg | 46:48 | 카메라 시스템 | 这就是物理光学镜头带来的硬实力
screenshot_093.jpg | 46:52 | 카메라 샘플 | 那如何让照片更加有活人感
screenshot_094.jpg | 47:12 | 카메라 시스템 | 那我们在3.5倍潜望
screenshot_095.jpg | 47:36 | 카메라 샘플 | 就像这些人像照片
screenshot_096.jpg | 48:12 | 카메라 샘플 | 同时拍摄风景的时候
screenshot_097.jpg | 48:23 | 제품 공개 | 同时一加15T也带来了7倍胶段
screenshot_098.jpg | 48:36 | 카메라 시스템 | 所以一加15T的3.5倍前往长焦
screenshot_099.jpg | 48:49 | 카메라 샘플 | 一加15T全新升级4K超清时光照片
screenshot_100.jpg | 48:56 | 카메라 샘플 | 所有的照片都可以像电影一样生动
screenshot_101.jpg | 49:10 | 카메라 샘플 | 复古引调 让你的照片有情绪
screenshot_102.jpg | 49:13 | 카메라 샘플 | 那看了这么多样张
screenshot_103.jpg | 49:24 | 카메라 샘플 | 我们也希望一加15T的照片不仅仅是好看
screenshot_104.jpg | 49:33 | 제품 공개 | 我们这次为大家带来了
screenshot_105.jpg | 49:53 | 카메라 샘플 | 大家可以看到这张照片
screenshot_106.jpg | 50:10 | 카메라 샘플 | 让每一张照片都充满张力
screenshot_107.jpg | 50:18 | 스펙 슬라이드 | 搭载3.5倍潜望长焦的黄金人像效果
screenshot_108.jpg | 51:09 | 스펙 슬라이드 | 在介绍具体的配置之前
screenshot_109.jpg | 51:24 | 스펙 슬라이드 | 小平手机就等同于配置妥协
screenshot_110.jpg | 52:03 | 스펙 슬라이드 | 一加15T搭载全新的Colors 16
screenshot_111.jpg | 52:13 | 비교 | 更是一对苹果用户极度友好的系统
screenshot_112.jpg | 52:39 | 제품 공개 | 我们还带来了非常多使用的功能
screenshot_113.jpg | 53:47 | 제품 공개 | 我们带来了游戏三连新体验
screenshot_114.jpg | 55:09 | 비교 | 当然 如果你是iPhone用户
screenshot_115.jpg | 55:16 | 비교 | 一碰互传 通信互联 苹果设备 全接融
screenshot_116.jpg | 55:22 | 비교 | 当然 我们还为大家准备了苹果急速搬家
screenshot_117.jpg | 55:49 | 비교 | 最关键的是它对苹果用户特别的友好
screenshot_118.jpg | 57:52 | 배터리 | 一家15T做到了性能续航
screenshot_119.jpg | 58:30 | 비교 | 我们可以和上一代的产品做个对比
screenshot_120.jpg | 58:52 | 가격 | 那么在价格公布之前
screenshot_121.jpg | 59:55 | 제품 공개 | 确实上来了很多很多
screenshot_122.jpg | 1:00:07 | 스펙 슬라이드 | 我们的配置成本
screenshot_123.jpg | 1:00:37 | 스펙 슬라이드 | 我们给它搭载了行业最顶的处理器
screenshot_124.jpg | 1:01:06 | 스펙 슬라이드 | 我们还给它搭载了一块7500Hz的超大电池
screenshot_125.jpg | 1:01:12 | 배터리 | 要放进这么大的电池容量是非常难的
screenshot_126.jpg | 1:02:03 | 가격 | 我们每一分的价格
screenshot_127.jpg | 1:02:16 | 가격 | 这不是一台小屏手机的价格
screenshot_128.jpg | 1:02:37 | 가격 | 现在一家15T已经开启了预售
screenshot_129.jpg | 1:03:25 | 제품 공개 | 我们这次带来了行业首款的
screenshot_130.jpg | 1:04:54 | 디자인 | 也做了专属的配色的升级
screenshot_131.jpg | 1:05:15 | 제품 공개 | 另外在发布会现场
screenshot_132.jpg | 1:05:28 | 제품 공개 | 除了今天的发布会
screenshot_133.jpg | 1:05:45 | 제품 공개 | 以上就是这次发布会的全部内容了
